node_name,parent_node,product_name,node_type,side,lt_wks,region,ss_days,buffering_stock_flag,description,supply_role
Materials_JP,Brewing_Noda,Soy_Sauce,leaf_in,inbound,2,JP,0,0,大豆・小麦・塩 調達（野田）,
Brewing_Noda,Bottling_Noda,Soy_Sauce,mom,inbound,4,JP,0,0,醸造（諸味・火入れ）野田,
Bottling_Noda,,Soy_Sauce,mom,inbound,1,JP,0,0,瓶詰・出荷（終端MOM）野田,
SP_Soy,,Soy_Sauce,supply_point,outbound,0,,0,0,Supply Point bridge,
FG_WH_Noda,SP_Soy,Soy_Sauce,dad,outbound,1,JP,21,1,国内 輸出前バッファ倉庫,
DC_US_SF,FG_WH_Noda,Soy_Sauce,dad,outbound,5,US_W,21,1,米国西海岸DC(SF) 在庫バッファ,
Rest_US_West,DC_US_SF,Soy_Sauce,leaf_out,outbound,1,US_W,0,0,西海岸レストラン（最終消費）,
DC_US_NY,FG_WH_Noda,Soy_Sauce,dad,outbound,6,US_E,21,1,米国東海岸DC(NY) 在庫バッファ,
Rest_US_East,DC_US_NY,Soy_Sauce,leaf_out,outbound,1,US_E,0,0,東海岸レストラン（最終消費）,
DC_JP,FG_WH_Noda,Soy_Sauce,dad,outbound,1,JP,0,0,国内DC,
Rest_JP,DC_JP,Soy_Sauce,leaf_out,outbound,1,JP,0,0,国内レストラン,
DC_EU_RTM,FG_WH_Noda,Soy_Sauce,dad,outbound,6,NL,21,1,欧州エントリDC(ロッテルダム) 在庫バッファ,
Rest_FR,DC_EU_RTM,Soy_Sauce,leaf_out,outbound,1,FR,0,0,フランス レストラン,
Rest_BE,DC_EU_RTM,Soy_Sauce,leaf_out,outbound,1,BE,0,0,ベルギー レストラン,
Rest_NL,DC_EU_RTM,Soy_Sauce,leaf_out,outbound,1,NL,0,0,オランダ レストラン,
