sku_id,node_name,selling_price_per_lot,unit_cost_per_lot,note
iPhone16,SiliconWafer_TW,60000,50000,Silicon wafer raw material — TSMC supply (USD/lot 100units)
iPhone16,TSMC_TW,450000,380000,A18 SoC wafer fabrication — TSMC Hsinchu (USD/lot)
iPhone16,BoschSensor_IN,200000,160000,Sensors & modules — India sourcing (USD/lot)
iPhone16,Foxconn_CN,5000000,4500000,Final assembly Foxconn Zhengzhou — all-in BOM+labor (USD/lot)
iPhone16,Foxconn_IN,5200000,4700000,Final assembly Foxconn Pune — India line BOM+labor (USD/lot)
iPhone16,SP_iPhone16,5000000,5000000,Supply Point bridge — pass-through (USD/lot)
iPhone16,DC_AMER,6000000,5100000,Americas DC Los Angeles — landed cost + DC ops (USD/lot)
iPhone16,DC_EMEA,6200000,5200000,EMEA DC Amsterdam — EU duties + DC ops (USD/lot)
iPhone16,DC_APAC,5800000,5050000,APAC DC Singapore — APAC logistics + DC ops (USD/lot)
iPhone16,Retail_AMER,9990000,6200000,Americas Retail — $999/unit x 100 units/lot (USD/lot)
iPhone16,Retail_EMEA,10990000,6400000,EMEA Retail — $1099/unit x 100 units/lot (USD/lot)
iPhone16,Retail_APAC,9490000,6000000,APAC Retail — $949/unit x 100 units/lot (USD/lot)
iPhone15,SiliconWafer_TW_i15,50000,40000,Silicon wafer raw material — A16 line (USD/lot)
iPhone15,TSMC_TW_i15,320000,280000,A16 SoC wafer fabrication — TSMC Fab 18 (USD/lot)
iPhone15,Foxconn_CN_i15,3600000,3200000,Final assembly Foxconn — iPhone15 line (USD/lot)
iPhone15,SP_iPhone15,3600000,3600000,Supply Point bridge — pass-through (USD/lot)
iPhone15,DC_AMER_i15,4500000,3700000,Americas DC — iPhone15 landed cost (USD/lot)
iPhone15,DC_EMEA_i15,4700000,3800000,EMEA DC — iPhone15 EU duties (USD/lot)
iPhone15,DC_APAC_i15,4300000,3650000,APAC DC — iPhone15 Singapore (USD/lot)
iPhone15,Retail_AMER_i15,6990000,4600000,Americas Retail — $699/unit x 100 units/lot (USD/lot)
iPhone15,Retail_EMEA_i15,7990000,4800000,EMEA Retail — $799/unit x 100 units/lot (USD/lot)
iPhone15,Retail_APAC_i15,6490000,4400000,APAC Retail — $649/unit x 100 units/lot (USD/lot)
iPhone17,SiliconWafer_TW_i17,65000,55000,Silicon wafer raw material — A19 line (USD/lot)
iPhone17,TSMC_TW_i17,500000,420000,A19 SoC wafer fabrication — next-gen node (USD/lot)
iPhone17,Foxconn_CN_i17,5400000,4900000,Final assembly Foxconn — iPhone17 Pro line (USD/lot)
iPhone17,SP_iPhone17,5400000,5400000,Supply Point bridge — pass-through (USD/lot)
iPhone17,DC_AMER_i17,6500000,5500000,Americas DC — iPhone17 landed cost (USD/lot)
iPhone17,DC_EMEA_i17,6800000,5700000,EMEA DC — iPhone17 EU duties (USD/lot)
iPhone17,DC_APAC_i17,6200000,5400000,APAC DC — iPhone17 Singapore (USD/lot)
iPhone17,Retail_AMER_i17,10990000,6700000,Americas Retail — $1099/unit x 100 units/lot (USD/lot)
iPhone17,Retail_EMEA_i17,11990000,7000000,EMEA Retail — $1199/unit x 100 units/lot (USD/lot)
iPhone17,Retail_APAC_i17,10490000,6400000,APAC Retail — $1049/unit x 100 units/lot (USD/lot)
