sku_id,node_name,selling_price_per_lot,unit_cost_per_lot,note
Apparel_Import_S1,Fabric_CN,7.47,6.5,生地 USD/着 (Pre-Spring / 初春物)
Apparel_Import_S1,Factory_Import_CN,20.9,19.0,CIF価格（生地込み） (Pre-Spring / 初春物)
Apparel_Import_S1,SP_Apparel_Import,19.0,19.0,Supply Point pass-through
Apparel_Import_S1,DC_Import_Buffer,31.46,28.6,輸入バッファDC 関税(20%)+輸送費込み (Pre-Spring / 初春物)
Apparel_Import_S1,Sales_US_TX_I,49.0,14.3,TX店舗販売価格（輸入品、Pre-Spring / 初春物）
Apparel_Import_S1,Sales_US_CA_I,49.0,14.3,CA店舗販売価格（輸入品、Pre-Spring / 初春物）
Apparel_Import_S1,Sales_US_NY_I,49.0,14.6,NY店舗販売価格（輸入品、Pre-Spring / 初春物）
Apparel_Import_S2,Fabric_CN,7.47,6.5,生地 USD/着 (Spring / 春物)
Apparel_Import_S2,Factory_Import_CN,20.9,19.0,CIF価格（生地込み） (Spring / 春物)
Apparel_Import_S2,SP_Apparel_Import,19.0,19.0,Supply Point pass-through
Apparel_Import_S2,DC_Import_Buffer,31.46,28.6,輸入バッファDC 関税(20%)+輸送費込み (Spring / 春物)
Apparel_Import_S2,Sales_US_TX_I,49.0,14.3,TX店舗販売価格（輸入品、Spring / 春物）
Apparel_Import_S2,Sales_US_CA_I,49.0,14.3,CA店舗販売価格（輸入品、Spring / 春物）
Apparel_Import_S2,Sales_US_NY_I,49.0,14.6,NY店舗販売価格（輸入品、Spring / 春物）
Apparel_Import_S3,Fabric_CN,7.47,6.5,生地 USD/着 (Early Summer / 初夏物)
Apparel_Import_S3,Factory_Import_CN,20.9,19.0,CIF価格（生地込み） (Early Summer / 初夏物)
Apparel_Import_S3,SP_Apparel_Import,19.0,19.0,Supply Point pass-through
Apparel_Import_S3,DC_Import_Buffer,31.46,28.6,輸入バッファDC 関税(20%)+輸送費込み (Early Summer / 初夏物)
Apparel_Import_S3,Sales_US_TX_I,49.0,14.3,TX店舗販売価格（輸入品、Early Summer / 初夏物）
Apparel_Import_S3,Sales_US_CA_I,49.0,14.3,CA店舗販売価格（輸入品、Early Summer / 初夏物）
Apparel_Import_S3,Sales_US_NY_I,49.0,14.6,NY店舗販売価格（輸入品、Early Summer / 初夏物）
Apparel_Import_S4,Fabric_CN,7.47,6.5,生地 USD/着 (High Summer / 盛夏物)
Apparel_Import_S4,Factory_Import_CN,20.9,19.0,CIF価格（生地込み） (High Summer / 盛夏物)
Apparel_Import_S4,SP_Apparel_Import,19.0,19.0,Supply Point pass-through
Apparel_Import_S4,DC_Import_Buffer,31.46,28.6,輸入バッファDC 関税(20%)+輸送費込み (High Summer / 盛夏物)
Apparel_Import_S4,Sales_US_TX_I,49.0,14.3,TX店舗販売価格（輸入品、High Summer / 盛夏物）
Apparel_Import_S4,Sales_US_CA_I,49.0,14.3,CA店舗販売価格（輸入品、High Summer / 盛夏物）
Apparel_Import_S4,Sales_US_NY_I,49.0,14.6,NY店舗販売価格（輸入品、High Summer / 盛夏物）
Apparel_Import_S5,Fabric_CN,7.47,6.5,生地 USD/着 (Early Fall / 初秋物)
Apparel_Import_S5,Factory_Import_CN,20.9,19.0,CIF価格（生地込み） (Early Fall / 初秋物)
Apparel_Import_S5,SP_Apparel_Import,19.0,19.0,Supply Point pass-through
Apparel_Import_S5,DC_Import_Buffer,31.46,28.6,輸入バッファDC 関税(20%)+輸送費込み (Early Fall / 初秋物)
Apparel_Import_S5,Sales_US_TX_I,49.0,14.3,TX店舗販売価格（輸入品、Early Fall / 初秋物）
Apparel_Import_S5,Sales_US_CA_I,49.0,14.3,CA店舗販売価格（輸入品、Early Fall / 初秋物）
Apparel_Import_S5,Sales_US_NY_I,49.0,14.6,NY店舗販売価格（輸入品、Early Fall / 初秋物）
Apparel_Import_S6,Fabric_CN,7.47,6.5,生地 USD/着 (Fall Coats / 秋物・コート)
Apparel_Import_S6,Factory_Import_CN,20.9,19.0,CIF価格（生地込み） (Fall Coats / 秋物・コート)
Apparel_Import_S6,SP_Apparel_Import,19.0,19.0,Supply Point pass-through
Apparel_Import_S6,DC_Import_Buffer,31.46,28.6,輸入バッファDC 関税(20%)+輸送費込み (Fall Coats / 秋物・コート)
Apparel_Import_S6,Sales_US_TX_I,49.0,14.3,TX店舗販売価格（輸入品、Fall Coats / 秋物・コート）
