node_id,node_name,node_type,lat,lon,sku_id,region,description
SP-iPhone,Supply Point,supply_point,34.6937,135.5023,,,iPhone Supply Point Bridge
Foxconn-CN,Foxconn Zhengzhou,mother_plant,34.7466,113.6253,,,Final Assembly — iPhone
TSMC-TW,TSMC Hsinchu,sku_supplier,24.7881,120.9970,iPhone16,TW,A18 SoC Wafer Fab
TSMC-TW-i15,TSMC Fab 18,sku_supplier,23.0013,120.2140,iPhone15,TW,A16 SoC Wafer Fab
SiWafer-TW,Silicon Wafer TW,sku_supplier,25.0330,121.5654,,,Silicon Wafer Supplier
DC-AMER,Apple DC Americas,region_dc,33.9425,-118.4081,,AMER,Los Angeles Distribution
DC-EMEA,Apple DC EMEA,region_dc,52.3676,4.9041,,EMEA,Amsterdam Distribution
DC-APAC,Apple DC APAC,region_dc,1.3521,103.8198,,APAC,Singapore Distribution
GBL-Proc,Global Procurement,procurement,24.7881,120.9970,,,Apple Taiwan Procurement
GBL-Mkt,Global Marketing,marketing,37.3318,-122.0312,,,Cupertino HQ
