sku_id,node_name,selling_price_per_lot,unit_cost_per_lot,note
Ghee_Domestic,Gujarat_Milk_Collective,4930,4630,集乳ネットワーク（Anand+Kheda統合） 原料乳仕入コスト INR/tin
Ghee_Domestic,Ghee_Plant_Anand,8000,7600,加工・充填費込み 国内向け出荷原価 INR/tin
Ghee_Domestic,DC_Ghee_Domestic,8100,7900,国内DC 保管・取扱費込み INR/tin
Ghee_Domestic,Retail_Mumbai,8400,8000,ムンバイ販売価格 INR/tin
Ghee_Domestic,Retail_Delhi,8450,8030,デリー販売価格 INR/tin
Ghee_Domestic,Retail_Bangalore,8380,8060,バンガロール販売価格（遠隔輸送費込み） INR/tin
Ghee_Export,Anand_Export_Route,2230,2080,アナンド輸出向け集乳ルート 原料乳仕入コスト（案分後） INR/tin
Ghee_Export,Mehsana_Milk_Route,2260,2104,メヘサナ集乳ルート 原料乳仕入コスト（案分後） INR/tin
Ghee_Export,Ghee_Plant_Export,8600,8200,輸出認証加工費込み FOB原価 INR/tin
Ghee_Export,DC_Ghee_Export,9000,8700,ムンドラ港保税倉庫 海上運賃+通関費込み INR/tin
Ghee_Export,Retail_Dubai,9300,8900,ドバイ販売価格（AED建て換算） INR/tin
Ghee_Export,Retail_AbuDhabi,9350,8950,アブダビ販売価格（AED建て換算） INR/tin
Ghee_Export,Retail_Sharjah,9250,8880,シャルジャ販売価格（AED建て換算・卸中心） INR/tin
