scenario_id,effective_from,effective_to,currency_code,version_no,remark,market_id,market_name,region,country,channel,segment,product_family,linked_cs_node,linked_product_name,market_potential_qty,our_share_qty,competitor_share_qty,white_space_qty
BASE,2026-01-01,2099-12-31,USD,1,initial setting,MKT_US_PREMIUM,US Premium Market,AMER,US,ONLINE,PREMIUM,IPHONE,CS_US_PREMIUM,IPHONE_NM_2028_BASE,120000,25000,70000,25000
BASE,2026-01-01,2099-12-31,USD,1,initial setting,MKT_US_MAINSTREAM,US Mainstream Market,AMER,US,CARRIER,MAINSTREAM,IPHONE,CS_US_MAINSTREAM,IPHONE_NM_2028_BASE,180000,40000,110000,30000
BASE,2026-01-01,2099-12-31,EUR,1,initial setting,MKT_DE_PREMIUM,DE Premium Market,EURO,DE,ONLINE,PREMIUM,IPHONE,CS_DE_PREMIUM,IPHONE_NM_2028_BASE,50000,12000,28000,10000
BASE,2026-01-01,2099-12-31,GBP,1,initial setting,MKT_UK_MAINSTREAM,UK Mainstream Market,EURO,UK,CARRIER,MAINSTREAM,IPHONE,CS_UK_MAINSTREAM,IPHONE_NM_2028_BASE,55000,13000,32000,10000
BASE,2026-01-01,2099-12-31,JPY,1,initial setting,MKT_JP_REPLACEMENT,JP Replacement Market,APAC,JP,APPLE,REPLACEMENT,IPHONE,CS_JP_REPLACEMENT,IPHONE_NM_2028_BASE,30000,7000,18000,5000
BASE,2026-01-01,2099-12-31,INR,1,initial setting,MKT_IN_ASPIRER,IN Aspirer Market,APAC,IN,ECOM,ASPIRER,IPHONE,CS_IN_ASPIRER,IPHONE_NM_2028_BASE,90000,10000,60000,20000
BASE,2026-01-01,2099-12-31,CNY,1,initial setting,MKT_CN_PREMIUM,CN Premium Market,APAC,CN,ONLINE,PREMIUM,IPHONE,CS_CN_PREMIUM,IPHONE_NM_2028_BASE,80000,15000,50000,15000
BASE,2026-01-01,2099-12-31,USD,1,initial setting,MKT_US_PREMIUM_PRO,US Premium Market PRO,AMER,US,ONLINE,PREMIUM,IPHONE,CS_US_PREMIUM,IPHONE_NM_2028_PRO,60000,12000,36000,12000
BASE,2026-01-01,2099-12-31,USD,1,initial setting,MKT_US_MAINSTREAM_PRO,US Mainstream Market PRO,AMER,US,CARRIER,MAINSTREAM,IPHONE,CS_US_MAINSTREAM,IPHONE_NM_2028_PRO,90000,18000,54000,18000
BASE,2026-01-01,2099-12-31,EUR,1,initial setting,MKT_DE_PREMIUM_PRO,DE Premium Market PRO,EURO,DE,ONLINE,PREMIUM,IPHONE,CS_DE_PREMIUM,IPHONE_NM_2028_PRO,25000,6000,14000,5000
BASE,2026-01-01,2099-12-31,GBP,1,initial setting,MKT_UK_MAINSTREAM_PRO,UK Mainstream Market PRO,EURO,UK,CARRIER,MAINSTREAM,IPHONE,CS_UK_MAINSTREAM,IPHONE_NM_2028_PRO,28000,6500,16000,5500
BASE,2026-01-01,2099-12-31,JPY,1,initial setting,MKT_JP_REPLACEMENT_PRO,JP Replacement Market PRO,APAC,JP,APPLE,REPLACEMENT,IPHONE,CS_JP_REPLACEMENT,IPHONE_NM_2028_PRO,18000,4000,11000,3000
BASE,2026-01-01,2099-12-31,INR,1,initial setting,MKT_IN_ASPIRER_PRO,IN Aspirer Market PRO,APAC,IN,ECOM,ASPIRER,IPHONE,CS_IN_ASPIRER,IPHONE_NM_2028_PRO,45000,5000,30000,10000
BASE,2026-01-01,2099-12-31,CNY,1,initial setting,MKT_CN_PREMIUM_PRO,CN Premium Market PRO,APAC,CN,ONLINE,PREMIUM,IPHONE,CS_CN_PREMIUM,IPHONE_NM_2028_PRO,40000,7000,25000,8000
