node_name,parent_node,product_name,node_type,side,lt_wks,region,ss_days,buffering_stock_flag,description,supply_role
SP_Oil_Local,,Gasoline_Local,supply_point,outbound,0,,0,0,Supply Point bridge OT/IN (Gasoline_Local),
Tank_Local,SP_Oil_Local,Gasoline_Local,dad,outbound,1,JP,7,0,国内貯油タンク（架空）,
Retail_Local_KANTO,Tank_Local,Gasoline_Local,leaf_out,outbound,1,KANTO,0,0,関東 給油所,
Retail_Local_KANSAI,Tank_Local,Gasoline_Local,leaf_out,outbound,2,KANSAI,0,0,関西 給油所,
Retail_Local_CHUBU,Tank_Local,Gasoline_Local,leaf_out,outbound,1,CHUBU,0,0,中部 給油所,
Refinery_Local,,Gasoline_Local,mom,inbound,2,JP,7,0,国内製油所（架空・精製処理LT）,
Crude_ME,Refinery_Local,Gasoline_Local,leaf_in,inbound,3,ME,0,0,中東産原油 タンカー輸送（架空）,
SP_Oil_Import,,Gasoline_Import,supply_point,outbound,0,,0,0,Supply Point bridge OT/IN (Gasoline_Import),
Tank_Import,SP_Oil_Import,Gasoline_Import,dad,outbound,1,JP,21,1,輸入貯油タンク（架空・長LT対応バッファ）,
Retail_Import_KANTO_I,Tank_Import,Gasoline_Import,leaf_out,outbound,1,KANTO_I,0,0,関東 給油所（輸入品）,
Retail_Import_KANSAI_I,Tank_Import,Gasoline_Import,leaf_out,outbound,2,KANSAI_I,0,0,関西 給油所（輸入品）,
Import_Hub,,Gasoline_Import,mom,inbound,1,JP,7,0,輸入基地（架空・受入処理LT）,
Refinery_SG,Import_Hub,Gasoline_Import,leaf_in,inbound,5,SG,0,0,海外精製済み完成品 タンカー輸送（架空・長距離）,
SP_Oil_Local_H,,Gasoline_Local_Hormuz,supply_point,outbound,0,,0,0,Supply Point bridge (Hormuz正規ルート),
Tank_Local_H,SP_Oil_Local_H,Gasoline_Local_Hormuz,dad,outbound,1,JP,28,1,国内貯油タンク（戦略備蓄4週間分、架空）,
Retail_Local_H_KANTO,Tank_Local_H,Gasoline_Local_Hormuz,leaf_out,outbound,1,KANTO,0,0,関東 給油所（Hormuz正規ルート）,
Retail_Local_H_KANSAI,Tank_Local_H,Gasoline_Local_Hormuz,leaf_out,outbound,2,KANSAI,0,0,関西 給油所（Hormuz正規ルート）,
Retail_Local_H_CHUBU,Tank_Local_H,Gasoline_Local_Hormuz,leaf_out,outbound,1,CHUBU,0,0,中部 給油所（Hormuz正規ルート）,
Refinery_Local_H,,Gasoline_Local_Hormuz,mom,inbound,2,JP,0,0,国内製油所（Hormuz正規ルート原油、架空）,
Crude_ME_Hormuz,Refinery_Local_H,Gasoline_Local_Hormuz,leaf_in,inbound,3,ME,0,0,サウジ湾岸→ホルムズ海峡タンカー輸送（正規ルート、架空）,
SP_Oil_Local_R,,Gasoline_Local_RedSea,supply_point,outbound,0,,0,0,Supply Point bridge (RedSea代替ルート),
Tank_Local_R,SP_Oil_Local_R,Gasoline_Local_RedSea,dad,outbound,1,JP,28,1,国内貯油タンク（戦略備蓄4週間分、架空）,
Retail_Local_R_KANTO,Tank_Local_R,Gasoline_Local_RedSea,leaf_out,outbound,1,KANTO,0,0,関東 給油所（RedSea代替ルート）,
Retail_Local_R_KANSAI,Tank_Local_R,Gasoline_Local_RedSea,leaf_out,outbound,2,KANSAI,0,0,関西 給油所（RedSea代替ルート）,
Retail_Local_R_CHUBU,Tank_Local_R,Gasoline_Local_RedSea,leaf_out,outbound,1,CHUBU,0,0,中部 給油所（RedSea代替ルート）,
Refinery_Local_R,,Gasoline_Local_RedSea,mom,inbound,2,JP,0,0,国内製油所（RedSea代替ルート原油、架空）,
Crude_ME_RedSea,Refinery_Local_R,Gasoline_Local_RedSea,leaf_in,inbound,5,ME,0,0,サウジ内陸パイプライン→紅海タンカー輸送（代替ルート・迂回、架空）,
SP_Oil_EU_Local,,Gasoline_EU_Local,supply_point,outbound,0,,0,0,Supply Point bridge OT/IN (Gasoline_EU_Local),
Tank_EU_Local,SP_Oil_EU_Local,Gasoline_EU_Local,dad,outbound,1,EU,7,0,欧州貯油タンク（架空）,
Retail_EU_DE,Tank_EU_Local,Gasoline_EU_Local,leaf_out,outbound,1,DE,0,0,ドイツ 給油所,
Retail_EU_FR,Tank_EU_Local,Gasoline_EU_Local,leaf_out,outbound,2,FR,0,0,フランス 給油所,
Retail_EU_NL,Tank_EU_Local,Gasoline_EU_Local,leaf_out,outbound,1,NL,0,0,オランダ 給油所,
Refinery_EU,,Gasoline_EU_Local,mom,inbound,2,EU,7,0,欧州製油所（架空・精製処理LT）,
Crude_ME_EU,Refinery_EU,Gasoline_EU_Local,leaf_in,inbound,3,ME,0,0,中東産原油 タンカー輸送（欧州向け、架空）,
SP_Oil_EU_Import,,Gasoline_EU_Import,supply_point,outbound,0,,0,0,Supply Point bridge OT/IN (Gasoline_EU_Import),
Tank_EU_Import,SP_Oil_EU_Import,Gasoline_EU_Import,dad,outbound,1,EU,21,1,輸入貯油タンク（架空・長LT対応バッファ）,
Retail_EU_Import_DE_I,Tank_EU_Import,Gasoline_EU_Import,leaf_out,outbound,1,DE_I,0,0,ドイツ 給油所（輸入品）,
Retail_EU_Import_FR_I,Tank_EU_Import,Gasoline_EU_Import,leaf_out,outbound,2,FR_I,0,0,フランス 給油所（輸入品）,
