node_id,product_id,cost_type,basis,rate,fixed_amount,currency,note
Factory_Import_CN,Apparel_Import_S1,conversion_cost,per_lot,0.0,19.0,USD,CIF価格（生地込み、fixed transfer priceと同額） (Pre-Spring / 初春物)
DC_Import_Buffer,Apparel_Import_S1,warehouse_cost,per_lot,0.0,1.0,USD,輸入バッファDC 運営・ハンドリング費 (Pre-Spring / 初春物)
Factory_Import_CN,Apparel_Import_S2,conversion_cost,per_lot,0.0,19.0,USD,CIF価格（生地込み、fixed transfer priceと同額） (Spring / 春物)
DC_Import_Buffer,Apparel_Import_S2,warehouse_cost,per_lot,0.0,1.0,USD,輸入バッファDC 運営・ハンドリング費 (Spring / 春物)
Factory_Import_CN,Apparel_Import_S3,conversion_cost,per_lot,0.0,19.0,USD,CIF価格（生地込み、fixed transfer priceと同額） (Early Summer / 初夏物)
DC_Import_Buffer,Apparel_Import_S3,warehouse_cost,per_lot,0.0,1.0,USD,輸入バッファDC 運営・ハンドリング費 (Early Summer / 初夏物)
Factory_Import_CN,Apparel_Import_S4,conversion_cost,per_lot,0.0,19.0,USD,CIF価格（生地込み、fixed transfer priceと同額） (High Summer / 盛夏物)
DC_Import_Buffer,Apparel_Import_S4,warehouse_cost,per_lot,0.0,1.0,USD,輸入バッファDC 運営・ハンドリング費 (High Summer / 盛夏物)
Factory_Import_CN,Apparel_Import_S5,conversion_cost,per_lot,0.0,19.0,USD,CIF価格（生地込み、fixed transfer priceと同額） (Early Fall / 初秋物)
DC_Import_Buffer,Apparel_Import_S5,warehouse_cost,per_lot,0.0,1.0,USD,輸入バッファDC 運営・ハンドリング費 (Early Fall / 初秋物)
Factory_Import_CN,Apparel_Import_S6,conversion_cost,per_lot,0.0,19.0,USD,CIF価格（生地込み、fixed transfer priceと同額） (Fall Coats / 秋物・コート)
DC_Import_Buffer,Apparel_Import_S6,warehouse_cost,per_lot,0.0,1.0,USD,輸入バッファDC 運営・ハンドリング費 (Fall Coats / 秋物・コート)
Factory_Import_CN,Apparel_Import_S7,conversion_cost,per_lot,0.0,19.0,USD,CIF価格（生地込み、fixed transfer priceと同額） (Early Winter / 初冬物)
DC_Import_Buffer,Apparel_Import_S7,warehouse_cost,per_lot,0.0,1.0,USD,輸入バッファDC 運営・ハンドリング費 (Early Winter / 初冬物)
Factory_Import_CN,Apparel_Import_S8,conversion_cost,per_lot,0.0,19.0,USD,CIF価格（生地込み、fixed transfer priceと同額） (Winter Holiday / 真冬・ホリデー)
DC_Import_Buffer,Apparel_Import_S8,warehouse_cost,per_lot,0.0,1.0,USD,輸入バッファDC 運営・ハンドリング費 (Winter Holiday / 真冬・ホリデー)
Factory_Local_ES,Apparel_Local_S1,conversion_cost,per_lot,0.0,10.0,USD,加工費のみ（生地代$7.0は別立て、cost_plus方式） (Pre-Spring / 初春物)
DC_Local_US,Apparel_Local_S1,warehouse_cost,per_lot,0.0,1.0,USD,航空輸送受入バッファDC 運営・ハンドリング費 (Pre-Spring / 初春物)
Factory_Local_ES,Apparel_Local_S2,conversion_cost,per_lot,0.0,10.0,USD,加工費のみ（生地代$7.0は別立て、cost_plus方式） (Spring / 春物)
DC_Local_US,Apparel_Local_S2,warehouse_cost,per_lot,0.0,1.0,USD,航空輸送受入バッファDC 運営・ハンドリング費 (Spring / 春物)
Factory_Local_ES,Apparel_Local_S3,conversion_cost,per_lot,0.0,10.0,USD,加工費のみ（生地代$7.0は別立て、cost_plus方式） (Early Summer / 初夏物)
DC_Local_US,Apparel_Local_S3,warehouse_cost,per_lot,0.0,1.0,USD,航空輸送受入バッファDC 運営・ハンドリング費 (Early Summer / 初夏物)
Factory_Local_ES,Apparel_Local_S4,conversion_cost,per_lot,0.0,10.0,USD,加工費のみ（生地代$7.0は別立て、cost_plus方式） (High Summer / 盛夏物)
DC_Local_US,Apparel_Local_S4,warehouse_cost,per_lot,0.0,1.0,USD,航空輸送受入バッファDC 運営・ハンドリング費 (High Summer / 盛夏物)
Factory_Local_ES,Apparel_Local_S5,conversion_cost,per_lot,0.0,10.0,USD,加工費のみ（生地代$7.0は別立て、cost_plus方式） (Early Fall / 初秋物)
DC_Local_US,Apparel_Local_S5,warehouse_cost,per_lot,0.0,1.0,USD,航空輸送受入バッファDC 運営・ハンドリング費 (Early Fall / 初秋物)
Factory_Local_ES,Apparel_Local_S6,conversion_cost,per_lot,0.0,10.0,USD,加工費のみ（生地代$7.0は別立て、cost_plus方式） (Fall Coats / 秋物・コート)
DC_Local_US,Apparel_Local_S6,warehouse_cost,per_lot,0.0,1.0,USD,航空輸送受入バッファDC 運営・ハンドリング費 (Fall Coats / 秋物・コート)
Factory_Local_ES,Apparel_Local_S7,conversion_cost,per_lot,0.0,10.0,USD,加工費のみ（生地代$7.0は別立て、cost_plus方式） (Early Winter / 初冬物)
DC_Local_US,Apparel_Local_S7,warehouse_cost,per_lot,0.0,1.0,USD,航空輸送受入バッファDC 運営・ハンドリング費 (Early Winter / 初冬物)
Factory_Local_ES,Apparel_Local_S8,conversion_cost,per_lot,0.0,10.0,USD,加工費のみ（生地代$7.0は別立て、cost_plus方式） (Winter Holiday / 真冬・ホリデー)
DC_Local_US,Apparel_Local_S8,warehouse_cost,per_lot,0.0,1.0,USD,航空輸送受入バッファDC 運営・ハンドリング費 (Winter Holiday / 真冬・ホリデー)
