node_id,node_name,node_type,lat,lon,sku_id,region,description
SP_Ghee_Domestic,SP_Ghee_Domestic（国内供給調整拠点）,procurement,23.03,72.58,,IN,Ghee_Domestic 供給調整拠点（アーメダバード近郊）
Ghee_Plant_Anand,アナンド地区連合加工場,mother_plant,22.56,72.95,Ghee_Domestic,IN,"ギー加工・充填プラント（Anand, Gujarat）— 国内向け年産能力"
Gujarat_Milk_Collective,グジャラート酪農協同組合連合,sku_supplier,22.6,72.8,Ghee_Domestic,IN,村落酪農協同組合 集乳ネットワーク（Anand+Kheda circle 統合）。単一leaf_inに統合 — 多leaf_in+需要スパイクの既知不具合を回避（本ファイル冒頭コメント参照）
DC_Ghee_Domestic,国内配送センター（アーメダバード）,region_dc,23.03,72.58,,IN,国内流通センター — ギーは常温長期保存が利くため安全在庫バッファに適する
Retail_Mumbai,ムンバイ小売,marketing,19.076,72.877,,MUM,国内小売チャネル（ムンバイ）
Retail_Delhi,デリー小売,marketing,28.704,77.102,,DEL,国内小売チャネル（デリー）
Retail_Bangalore,バンガロール小売,marketing,12.972,77.594,,BLR,国内小売チャネル（バンガロール）
SP_Ghee_Export,SP_Ghee_Export（輸出供給調整拠点）,procurement,22.84,69.72,,IN,Ghee_Export 供給調整拠点（ムンドラ港近郊）
Ghee_Plant_Export,輸出認証加工場（メヘサナ）,mother_plant,23.6,72.4,Ghee_Export,IN,"ギー加工・充填プラント（Mehsana, Gujarat）— 輸出認証ライン"
Anand_Export_Route,アナンド輸出向け集乳ルート,sku_supplier,22.5,72.92,Ghee_Export,IN,輸出規格（脂肪分・残留基準）専用の集乳ルート（Anand）
Mehsana_Milk_Route,メヘサナ集乳ルート,sku_supplier,23.55,72.35,Ghee_Export,IN,村落酪農協同組合 集乳ルート（Mehsana circle）
DC_Ghee_Export,輸出保税倉庫（ムンドラ港）,region_dc,22.84,69.72,,IN,ムンドラ港 保税倉庫 — 海上輸送LT+通関を吸収する安全在庫バッファ
Retail_Dubai,ドバイ小売,marketing,25.204,55.271,,DXB,輸出先チャネル（ドバイ、NRI需要中心）
Retail_AbuDhabi,アブダビ小売,marketing,24.453,54.377,,AUH,輸出先チャネル（アブダビ）
Retail_Sharjah,シャルジャ小売,marketing,25.346,55.421,,SHJ,輸出先チャネル（シャルジャ、卸中心）
