sku_id,node_name,selling_price_per_lot,unit_cost_per_lot,note
SmartX,WaferFab_TW_g1,5.0,4.0,Silicon wafer raw material — Gen1 line (USD/lot)
SmartX,FoundryTW_g1,32.0,28.0,Gen1 SoC wafer fabrication — FoundryTW Fab (USD/lot)
SmartX,AssemblyCN_g1,360.0,320.0,Final assembly Assembly — SmartX line (USD/lot)
SmartX,SP_SmartX,360.0,360.0,Supply Point bridge — pass-through (USD/lot)
SmartX,DC_AMER_g1,450.0,370.0,Americas DC — SmartX landed cost (USD/lot)
SmartX,DC_EMEA_g1,470.0,380.0,EMEA DC — SmartX EU duties (USD/lot)
SmartX,DC_APAC_g1,430.0,365.0,APAC DC — SmartX Singapore (USD/lot)
SmartX,Retail_AMER_g1,699.0,460.0,Americas Retail (USD/lot)
SmartX,Retail_EMEA_g1,799.0,480.0,EMEA Retail (USD/lot)
SmartX,Retail_APAC_g1,649.0,440.0,APAC Retail (USD/lot)
SmartXNext,WaferFab_TW_g3,6.5,5.5,Silicon wafer raw material — Gen3 line (USD/lot)
SmartXNext,FoundryTW_g3,50.0,42.0,Gen3 SoC wafer fabrication — next-gen node (USD/lot)
SmartXNext,AssemblyCN_g3,540.0,490.0,Final assembly Assembly — SmartXNext Pro line (USD/lot)
SmartXNext,SP_SmartXNext,540.0,540.0,Supply Point bridge — pass-through (USD/lot)
SmartXNext,DC_AMER_g3,650.0,550.0,Americas DC — SmartXNext landed cost (USD/lot)
SmartXNext,DC_EMEA_g3,680.0,570.0,EMEA DC — SmartXNext EU duties (USD/lot)
SmartXNext,DC_APAC_g3,620.0,540.0,APAC DC — SmartXNext Singapore (USD/lot)
SmartXNext,Retail_AMER_g3,1099.0,670.0,Americas Retail (USD/lot)
SmartXNext,Retail_EMEA_g3,1199.0,700.0,EMEA Retail (USD/lot)
SmartXNext,Retail_APAC_g3,1049.0,640.0,APAC Retail (USD/lot)
SmartXPro_CN,WaferFab_TW,6.0,5.0,Silicon wafer raw material — FoundryTW supply (USD/lot 100units)
SmartXPro_CN,FoundryTW,45.0,38.0,NextGen SoC wafer fabrication — FoundryTW Hsinchu (USD/lot)
SmartXPro_IN,SensorIN,20.0,16.0,Sensors & modules — India sourcing (USD/lot)
SmartXPro_CN,AssemblyCN,500.0,450.0,Final assembly AssemblyCN Zhengzhou — all-in BOM+labor (USD/lot)
SmartXPro_IN,AssemblyIN,520.0,470.0,Final assembly AssemblyIN Pune — India line BOM+labor (USD/lot)
SmartXPro_IN,DC_AMER,600.0,510.0,Americas DC Los Angeles — landed cost + DC ops (USD/lot)
SmartXPro_CN,DC_EMEA,620.0,520.0,EMEA DC Amsterdam — EU duties + DC ops (USD/lot)
SmartXPro_CN,DC_APAC,580.0,505.0,APAC DC Singapore — APAC logistics + DC ops (USD/lot)
SmartXPro_IN,Retail_AMER,999.0,620.0,Americas Retail (USD/lot)
SmartXPro_CN,Retail_EMEA,1099.0,640.0,EMEA Retail (USD/lot)
SmartXPro_CN,Retail_APAC,949.0,600.0,APAC Retail (USD/lot)
SmartXPro_CN,SP_SmartXPro_CN,500.0,500.0,Supply Point bridge — pass-through (USD/lot)
SmartXPro_IN,SP_SmartXPro_IN,500.0,500.0,Supply Point bridge — pass-through (USD/lot)
