node_id,product_id,cost_type,basis,rate,fixed_amount,currency,note
Foxconn_CN,iPhone16,conversion_cost,per_lot,0,500000,USD,Assembly labor + overhead per lot (100 units)
Foxconn_CN,iPhone16,logistics_cost,per_lot,0,50000,USD,Inbound logistics CN domestic
Foxconn_IN,iPhone16,conversion_cost,per_lot,0,520000,USD,Assembly labor + overhead per lot India
Foxconn_IN,iPhone16,logistics_cost,per_lot,0,60000,USD,Inbound logistics India domestic
TSMC_TW,iPhone16,conversion_cost,per_lot,0,70000,USD,SoC fab processing cost A18
TSMC_TW,iPhone16,logistics_cost,per_lot,0,20000,USD,Wafer logistics TW→CN
DC_AMER,iPhone16,logistics_cost,per_lot,0,100000,USD,Ocean freight CN→AMER + port handling
DC_AMER,iPhone16,conversion_cost,per_lot,0,50000,USD,DC picking packing labor AMER
DC_EMEA,iPhone16,logistics_cost,per_lot,0,120000,USD,Air/ocean freight CN→EMEA + customs
DC_EMEA,iPhone16,conversion_cost,per_lot,0,55000,USD,DC picking packing labor EMEA
DC_APAC,iPhone16,logistics_cost,per_lot,0,80000,USD,Ocean freight CN→APAC Singapore
DC_APAC,iPhone16,conversion_cost,per_lot,0,45000,USD,DC picking packing labor APAC
Foxconn_CN_i15,iPhone15,conversion_cost,per_lot,0,400000,USD,Assembly labor + overhead per lot iPhone15
Foxconn_CN_i15,iPhone15,logistics_cost,per_lot,0,45000,USD,Inbound logistics CN domestic
TSMC_TW_i15,iPhone15,conversion_cost,per_lot,0,50000,USD,SoC fab processing cost A16
TSMC_TW_i15,iPhone15,logistics_cost,per_lot,0,18000,USD,Wafer logistics TW→CN iPhone15
DC_AMER_i15,iPhone15,logistics_cost,per_lot,0,95000,USD,Ocean freight CN→AMER iPhone15
DC_AMER_i15,iPhone15,conversion_cost,per_lot,0,48000,USD,DC picking packing labor AMER iPhone15
DC_EMEA_i15,iPhone15,logistics_cost,per_lot,0,110000,USD,Air/ocean freight CN→EMEA iPhone15
DC_EMEA_i15,iPhone15,conversion_cost,per_lot,0,52000,USD,DC picking packing labor EMEA iPhone15
DC_APAC_i15,iPhone15,logistics_cost,per_lot,0,75000,USD,Ocean freight CN→APAC iPhone15
DC_APAC_i15,iPhone15,conversion_cost,per_lot,0,42000,USD,DC picking packing labor APAC iPhone15
Foxconn_CN_i17,iPhone17,conversion_cost,per_lot,0,550000,USD,Assembly labor + overhead per lot iPhone17
Foxconn_CN_i17,iPhone17,logistics_cost,per_lot,0,55000,USD,Inbound logistics CN domestic iPhone17
TSMC_TW_i17,iPhone17,conversion_cost,per_lot,0,85000,USD,SoC fab processing cost A19 next-gen
TSMC_TW_i17,iPhone17,logistics_cost,per_lot,0,22000,USD,Wafer logistics TW→CN iPhone17
DC_AMER_i17,iPhone17,logistics_cost,per_lot,0,105000,USD,Ocean freight CN→AMER iPhone17
DC_AMER_i17,iPhone17,conversion_cost,per_lot,0,52000,USD,DC picking packing labor AMER iPhone17
DC_EMEA_i17,iPhone17,logistics_cost,per_lot,0,125000,USD,Air/ocean freight CN→EMEA iPhone17
DC_EMEA_i17,iPhone17,conversion_cost,per_lot,0,58000,USD,DC picking packing labor EMEA iPhone17
DC_APAC_i17,iPhone17,logistics_cost,per_lot,0,85000,USD,Ocean freight CN→APAC iPhone17
DC_APAC_i17,iPhone17,conversion_cost,per_lot,0,48000,USD,DC picking packing labor APAC iPhone17
