node_name,parent_node,product_name,node_type,side,lt_wks,region,description,ss_days,buffering_stock_flag,transit_lt_wks,supply_role
SP_SmartX,,SmartX,supply_point,outbound,0,,Supply Point bridge OT/IN,0,0,,
DC_AMER_g1,SP_SmartX,SmartX,dad,outbound,2,AMER,Americas DC  ESmartX,0,0,,
Retail_AMER_g1,DC_AMER_g1,SmartX,leaf_out,outbound,1,AMER,Americas Retail  ESmartX,0,0,,
DC_EMEA_g1,SP_SmartX,SmartX,dad,outbound,3,EMEA,EMEA DC  ESmartX,0,0,,
Retail_EMEA_g1,DC_EMEA_g1,SmartX,leaf_out,outbound,1,EMEA,EMEA Retail  ESmartX,0,0,,
DC_APAC_g1,SP_SmartX,SmartX,dad,outbound,2,APAC,APAC DC  ESmartX,0,0,,
Retail_APAC_g1,DC_APAC_g1,SmartX,leaf_out,outbound,1,APAC,APAC Retail  ESmartX,0,0,,
AssemblyCN_g1,,SmartX,mom,inbound,4,CN,Final Assembly  EAssembly (SmartX line),0,0,,
FoundryTW_g1,AssemblyCN_g1,SmartX,mom,inbound,8,TW,Gen1 SoC Wafer Fab  EFoundryTW,0,0,,
WaferFab_TW_g1,FoundryTW_g1,SmartX,leaf_in,inbound,2,TW,Silicon Wafer (SmartX),0,0,,
SP_SmartXNext,,SmartXNext,supply_point,outbound,0,,Supply Point bridge OT/IN,0,0,,
DC_AMER_g3,SP_SmartXNext,SmartXNext,dad,outbound,2,AMER,Americas DC  ESmartXNext,0,0,,
Retail_AMER_g3,DC_AMER_g3,SmartXNext,leaf_out,outbound,1,AMER,Americas Retail  ESmartXNext,0,0,,
DC_EMEA_g3,SP_SmartXNext,SmartXNext,dad,outbound,3,EMEA,EMEA DC  ESmartXNext,0,0,,
Retail_EMEA_g3,DC_EMEA_g3,SmartXNext,leaf_out,outbound,1,EMEA,EMEA Retail  ESmartXNext,0,0,,
DC_APAC_g3,SP_SmartXNext,SmartXNext,dad,outbound,2,APAC,APAC DC  ESmartXNext,0,0,,
Retail_APAC_g3,DC_APAC_g3,SmartXNext,leaf_out,outbound,1,APAC,APAC Retail  ESmartXNext,0,0,,
AssemblyCN_g3,,SmartXNext,mom,inbound,4,CN,Final Assembly  EAssembly (SmartXNext line),0,0,,
FoundryTW_g3,AssemblyCN_g3,SmartXNext,mom,inbound,5,TW,Gen3 SoC Wafer Fab  EFoundryTW,0,0,,
WaferFab_TW_g3,FoundryTW_g3,SmartXNext,leaf_in,inbound,2,TW,Silicon Wafer (SmartXNext),0,0,,
SP_SmartXPro_CN,,SmartXPro_CN,supply_point,outbound,0,,Supply Point bridge OT/IN,0,0,,
SP_SmartXPro_IN,,SmartXPro_IN,supply_point,outbound,0,,Supply Point bridge OT/IN,0,0,,
DC_AMER,SP_SmartXPro_IN,SmartXPro_IN,dad,outbound,2,AMER,Americas Distribution Center (Los Angeles),0,0,,
Retail_AMER,DC_AMER,SmartXPro_IN,leaf_out,outbound,1,AMER,Americas Retail / Online Sales,0,0,,
DC_EMEA,SP_SmartXPro_CN,SmartXPro_CN,dad,outbound,3,EMEA,EMEA Distribution Center (Amsterdam),0,1,,
Retail_EMEA,DC_EMEA,SmartXPro_CN,leaf_out,outbound,1,EMEA,EMEA Retail / Online Sales,0,0,,
DC_APAC,SP_SmartXPro_CN,SmartXPro_CN,dad,outbound,2,APAC,APAC Distribution Center (Singapore),0,0,,
Retail_APAC,DC_APAC,SmartXPro_CN,leaf_out,outbound,1,APAC,APAC Retail / Online Sales,0,0,,
AssemblyCN,,SmartXPro_CN,mom,inbound,4,CN,Final Assembly  EAssemblyCN Zhengzhou (EMEA/APAC),0,0,,
FoundryTW,AssemblyCN,SmartXPro_CN,mom,inbound,6,TW,NextGen SoC Wafer Fabrication  EFoundryTW Taiwan,0,0,,
Buffer_Chip_TW,FoundryTW,SmartXPro_CN,mom,inbound,0,TW,Silicon Wafer Buffer Warehouse (Decoupling Point),0,1,,
WaferFab_TW,Buffer_Chip_TW,SmartXPro_CN,leaf_in,inbound,26,TW,Silicon Wafer (raw material),0,0,1,
AssemblyIN,,SmartXPro_IN,mom,inbound,5,IN,Final Assembly  EAssemblyIN Pune (AMER dedicated),0,0,,
SensorIN,AssemblyIN,SmartXPro_IN,leaf_in,inbound,3,IN,Sensors & Modules (India sourcing),0,0,,
