node_id,node_name,node_type,lat,lon,sku_id,region,description
SP_Oil_Local,SP_Oil_Local（Gasoline_Local 供給調整拠点）,procurement,35.6,140.12,,JP,国内精製 供給調整拠点（架空）
Refinery_Local,国内製油所（千葉近郊・架空拠点）,mother_plant,35.62,140.1,Gasoline_Local,JP,国内製油所（架空）
Crude_ME,中東産原油 積出基地（架空・地域名のみ、実在産油地未特定）,sku_supplier,26.2,50.6,Gasoline_Local,ME,中東産原油 調達（架空）
Tank_Local,国内貯油タンク（東京湾岸・架空拠点）,region_dc,35.55,139.75,,JP,国内貯油・出荷基地（架空）
Retail_Local_KANTO,関東 給油所チャネル（架空）,marketing,35.68,139.77,,KANTO,関東地域 給油所（架空）
Retail_Local_KANSAI,関西 給油所チャネル（架空）,marketing,34.69,135.5,,KANSAI,関西地域 給油所（架空）
Retail_Local_CHUBU,中部 給油所チャネル（架空）,marketing,35.18,136.91,,CHUBU,中部地域 給油所（架空）
SP_Oil_Import,SP_Oil_Import（Gasoline_Import 輸入調整拠点）,procurement,34.65,135.2,,JP,輸入品 供給調整拠点（架空）
Import_Hub,輸入基地（大阪湾岸・架空拠点）,mother_plant,34.63,135.18,Gasoline_Import,JP,完成品輸入 受入基地（架空）
Refinery_SG,海外精製拠点（シンガポール・架空）,sku_supplier,1.29,103.85,Gasoline_Import,SG,海外精製済み完成品ガソリン 調達（架空）
Tank_Import,輸入貯油タンク（大阪湾岸・架空拠点）,region_dc,34.6,135.15,,JP,輸入品貯油・出荷基地（架空）
Retail_Import_KANTO_I,関東 給油所チャネル（輸入品・架空）,marketing,35.68,139.77,,KANTO_I,関東地域 給油所（輸入品・架空）
Retail_Import_KANSAI_I,関西 給油所チャネル（輸入品・架空）,marketing,34.69,135.5,,KANSAI_I,関西地域 給油所（輸入品・架空）
SP_Oil_Local_H,SP_Oil_Local_H（Hormuz正規ルート 供給調整拠点）,procurement,35.6,140.12,,JP,ホルムズ正規ルート 供給調整拠点（架空）
Refinery_Local_H,国内製油所（千葉近郊・架空・Hormuz正規ルート原油で稼働）,mother_plant,35.62,140.1,Gasoline_Local_Hormuz,JP,国内製油所（架空、ホルムズ海峡正規ルート原油）
Crude_ME_Hormuz,サウジ湾岸積出港（ラスタヌラ想定・ホルムズ海峡経由 正規ルート、架空）,sku_supplier,26.7,50.2,Gasoline_Local_Hormuz,ME,中東産原油 タンカー輸送（ホルムズ海峡正規ルート、架空）
Tank_Local_H,国内貯油タンク（東京湾岸・架空・戦略備蓄4週間分）,region_dc,35.55,139.75,,JP,国内貯油・出荷基地（架空、Hormuz正規ルート）
Retail_Local_H_KANTO,関東 給油所チャネル（Hormuz正規ルート・架空）,marketing,35.68,139.77,,KANTO,関東地域 給油所（Hormuz正規ルート・架空）
Retail_Local_H_KANSAI,関西 給油所チャネル（Hormuz正規ルート・架空）,marketing,34.69,135.5,,KANSAI,関西地域 給油所（Hormuz正規ルート・架空）
